Designator,Mid X,Mid Y,Rotation,Layer
C1,73.448986,-86.533024,0.0,top
C10,136.94624,-110.837306,0.0,top
C11,136.94624,-114.837306,0.0,top
C12,123.35874,-110.837306,0.0,top
C2,87.448986,-90.533024,0.0,top
C3,87.536486,-86.533024,0.0,top
C4,86.79624,-110.902306,0.0,top
C5,86.97124,-114.932306,0.0,top
C6,73.47124,-110.932306,0.0,top
C7,136.961486,-86.438024,0.0,top
C8,136.961486,-90.438024,0.0,top
C9,123.461486,-86.438024,0.0,top
D1,104.961486,-87.643024,0.0,top
D10,120.5,-101.0,270.0,top
D11,99.0,-102.4875,270.0,top
D12,95.11,-102.4875,270.0,top
D2,104.961486,-91.533024,0.0,top
D3,84.89,-102.5125,270.0,top
D4,81.0,-102.5125,270.0,top
D5,108.5,-97.5125,90.0,top
D6,112.39,-97.5125,90.0,top
D7,104.88374,-111.042306,0.0,top
D8,104.88374,-114.932306,0.0,top
D9,124.305,-101.01,270.0,top
J1,60.0,-100.0,90.0,top
R1,73.448986,-88.533024,180.0,top
R10,81.0,-97.0875,270.0,top
R11,108.39,-102.4375,90.0,top
R12,99.88374,-110.932306,180.0,top
R13,124.5,-96.0875,90.0,top
R14,95.11,-97.075,270.0,top
R2,75.361486,-91.533024,180.0,top
R3,75.29624,-115.932306,180.0,top
R4,73.47124,-112.932306,180.0,top
R5,125.461486,-91.438024,180.0,top
R6,123.461486,-88.438024,180.0,top
R7,125.27124,-115.837306,180.0,top
R8,123.35874,-112.837306,180.0,top
R9,100.036486,-87.533024,180.0,top
U1,80.948986,-88.533024,270.0,top
U2,80.88374,-112.932306,270.0,top
U3,130.948986,-88.533024,270.0,top
U4,130.88374,-112.932306,270.0,top
